index,residual,influ,b_intercept,b_nbaths,b_nbeds,b_area,b_age,se_intercept,se_nbaths,se_nbeds,se_area,se_age
4.200000000000000000e+01,-2.826817276940028023e+01,1.174132587785007981e-01,1.443661222203885472e+02,1.094040909398301231e+01,-4.471503755492757648e+01,2.214645680359526858e-01,-2.973390756218188713e+00,5.534624316709508829e-01,3.631104171971341610e-02,2.674358280615790617e-02,4.522331091606704591e-08,3.909405935702008788e-05
4.300000000000000000e+01,2.106922756662997642e+01,9.164749160300883490e-02,-1.493731984896241016e+01,2.748470819951222666e+00,4.049610030062398280e+00,1.182589953658028659e-01,-1.113326669465048990e+00,9.661517461215902713e-01,6.360263326775612847e-02,4.936590301848682583e-02,6.871070212313267987e-08,6.648917289549232258e-05
4.400000000000000000e+01,-8.560954033443636035e+00,1.010939229536388928e-01,5.438160782071825849e+01,2.323075619195793351e+01,-2.620960281117072554e+01,1.196332710580250425e-01,-1.274987014743349301e+00,4.127765657575503400e-01,4.128182016464955473e-02,2.794846706926126800e-02,6.839115366010763119e-08,4.145912672735417337e-05
4.500000000000000000e+01,-1.157873930778108900e+02,1.459187407555612159e-01,3.737262594492665180e+00,-1.000056414893840007e+01,3.171046418359949826e+00,1.113901897970574484e-01,-6.551750721300190206e-01,7.354682653664809111e-01,7.136624310908519508e-02,3.414156871236114638e-02,8.891483990558880878e-08,7.310702747199286416e-05
4.600000000000000000e+01,-3.004276194599083283e+01,3.630618959206236007e-01,-1.290291928208680474e+02,1.351672632857375334e+01,1.393323295169417264e+01,1.231976494161558661e-01,1.736382434760812554e-01,6.153510308919033500e-01,6.297580058429197436e-02,5.323944261993713428e-02,4.454299592648343229e-08,6.275843147723424284e-05
4.700000000000000000e+01,-3.550757097034750132e+01,1.122883069955962626e-01,7.844648491650495714e+01,1.918809113393252730e+01,-1.764683867312811216e+01,1.139550829187642722e-01,-1.727051002608475105e+00,4.000157600467519337e-01,4.555319003308719999e-02,2.571687374332487855e-02,8.742828018711406833e-08,3.871814981595013666e-05
4.800000000000000000e+01,9.920631456620924382e+01,1.895322769641795135e-01,-6.062038809825126862e+01,2.331035825528867278e+01,-2.848267777006313395e+00,1.220844672241563900e-01,-2.531057168719916817e-01,4.349077183624004417e-01,4.120205793601634803e-02,3.074573207682106124e-02,3.404776912159057773e-08,4.323383428312259797e-05
4.900000000000000000e+01,3.539016115726253986e+01,1.825047427128897171e-01,5.661627940373968215e+01,1.258533014368009084e+01,-1.647641785301940587e+01,8.023155957282489259e-02,-6.638017905424952181e-01,7.711636451880463650e-01,6.651370734678506424e-02,3.347850340002712227e-02,1.380085737965072613e-07,7.584786966507879580e-05
5.000000000000000000e+01,5.531712302128653391e+01,2.366640577449656904e-02,3.940935885767523672e+01,2.713283555087349086e+01,1.887547408899525214e+00,5.251053048236348220e-02,-9.589252764463349621e-01,7.041671097736108553e-01,6.439212445459868706e-02,3.012944816955234403e-02,9.101589176348840769e-08,6.936016609600390763e-05
5.100000000000000000e+01,-1.166865942458540530e+02,4.070692489715792978e-02,5.415152368619955041e+02,5.436390834549725071e+01,-1.091134643235723587e+02,2.019040475536016122e-01,-6.100900074456232502e+00,4.943898807996541245e-01,2.566539578991098788e-02,2.799868452324905110e-02,2.143761436642840761e-08,3.346842186375307648e-05
5.200000000000000000e+01,-1.740422408792254316e+01,2.747580253850304688e-01,-3.164080732812049046e+00,1.909237674826844966e+01,1.388436511322615452e+01,5.806930022534016744e-02,-7.125101717502345666e-01,4.850381970372483198e-01,5.148936423717438704e-02,2.334646093527439903e-02,6.878463642264611414e-08,4.985546770902550361e-05
5.300000000000000000e+01,-5.763556935830726502e+01,9.343279279828287098e-02,1.180593524315753484e+02,2.668910275534074472e+01,-2.236199071468679378e+01,1.402480100894130111e-01,-3.438195216514004393e+00,1.651612652547607141e+00,8.910196710034096190e-02,5.246510755415589866e-02,1.485509199946678669e-07,2.502135034312381553e-04
5.400000000000000000e+01,-9.631358538538506764e+00,1.157515341108009133e-01,2.585278731377999151e+01,2.180072270112908228e+01,-4.593283189718394333e+00,6.384885705746604079e-02,-5.842931143068026412e-01,7.415465215300548474e-01,7.426287114589834315e-02,3.175596321029475200e-02,1.208225220019058332e-07,8.272972198972631901e-05
5.500000000000000000e+01,-4.654904327949816434e+01,4.168493533853780131e-02,1.343935091950244498e+01,2.425792861107786536e+01,-3.017854296364316014e+00,4.796215803153926205e-02,-2.352755794064107508e-01,4.881219558362112632e-01,5.096868681409427726e-02,2.134856998976280770e-02,6.915981657889388084e-08,5.032697259235814413e-05
5.600000000000000000e+01,4.242963788318525076e+01,5.024208810326414865e-01,-2.699833942511529372e+01,-3.431060586148362290e-01,-5.981861991584185745e+00,1.190543433139639173e-01,-2.361297451593922236e-01,9.503993270962480810e-01,9.053264796510925028e-02,3.957178072125504265e-02,1.014209430127118573e-07,9.198282282850589367e-05
5.700000000000000000e+01,3.528073826538147273e+00,1.225686994812512642e-01,1.922865588015879723e+01,2.369680775589500854e+01,-5.803736105211818597e-01,5.849929668931597160e-02,-5.930765358849214852e-01,5.912501066877232647e-01,5.968176744320654453e-02,2.409504970718004402e-02,8.571843034011999036e-08,6.691963164921505697e-05
5.800000000000000000e+01,2.641102140720393265e+01,1.400026702391776179e-01,6.753153817270813875e+01,-1.865335966935425915e+01,-6.922736604346457767e+00,1.410498014278778189e-01,-1.213548193425031396e+00,1.366723809464148509e+00,1.128199061231471428e-01,8.515232172781946052e-02,1.758894417254110127e-07,1.670497172421938660e-04
5.900000000000000000e+01,-1.505590952140572369e+01,2.377423013321693090e-02,3.780748736131685916e+01,3.046785025001216241e+01,-1.806919422597415448e+00,5.776714033752570338e-02,-9.561425178932665414e-01,6.857101084162888771e-01,5.856628615575273922e-02,2.837016555612635257e-02,1.019953574409505482e-07,6.714117000642717565e-05
6.000000000000000000e+01,8.898963063522835171e+01,4.524529000446574079e-02,6.148856306224638502e+01,3.322481321900469453e+01,-2.915553922223000427e+01,1.345219378790901421e-01,-2.154476636878718487e+00,1.483883637719021209e+00,9.002071498516492354e-02,5.601909989757151986e-02,1.563615045750998039e-07,2.152177081344265001e-04
6.100000000000000000e+01,2.362245562202470950e+01,4.674254931106299610e-02,4.429685606572049039e+01,1.684531112907570360e+01,-6.969928426827883605e+00,5.120338278964582657e-02,-4.930667828450361889e-01,4.826593704503188142e-01,5.519205029592022527e-02,2.351747837698160357e-02,7.656625247305199247e-08,4.749723084226132463e-05
6.200000000000000000e+01,-1.309422827325467154e+01,7.923462076697398992e-02,-1.115853625834433416e+01,1.691233756604283656e+00,2.956259348859204827e+00,1.231298490758942765e-01,-1.237763127670904018e+00,1.029379112940429053e+00,6.560203360516839166e-02,5.440300857291108239e-02,7.426555335557505223e-08,6.662863875066176518e-05
6.300000000000000000e+01,7.159918814895547712e+01,1.777892515000373819e-01,1.544789979585916910e+02,2.421856033608245440e+01,-6.123589376723338518e+01,2.161635210296717624e-01,-3.250159823338306442e+00,6.923858800833986304e-01,6.070267666151338976e-02,3.168187224258727647e-02,1.159369356091548252e-07,5.912347228793551549e-05
6.400000000000000000e+01,-1.389652329851911361e+01,1.341675124970893862e-01,4.927450717906883426e+01,3.902051506409868153e+01,-1.921692525594591316e+01,9.065496602860165232e-02,-7.343620705885657296e-01,5.058145667292084369e-01,3.460275102587054979e-02,3.566965735450558506e-02,6.594116852633403970e-08,3.889029549312032421e-05
6.500000000000000000e+01,-1.009623363160992682e+01,6.763161493256163170e-02,-3.714144857123382337e+01,8.675666148260692268e+00,-5.201862675206687214e+00,1.231650926546886404e-01,-3.342194130584408285e-01,5.334865279280791572e-01,5.627055987911819268e-02,3.057700923792467176e-02,4.289467002173818273e-08,6.137022343720348956e-05
6.600000000000000000e+01,1.137074810433944094e+00,8.322023131102677940e-02,-1.028571943776165512e+02,2.681694188465345619e+01,-1.137149414889644561e+01,1.369516406846486845e-01,1.809140162609796099e-01,3.995087582191043096e-01,3.203610997440173302e-02,2.779577709863220725e-02,3.157347554055538687e-08,3.762388289316724197e-05
6.700000000000000000e+01,-2.875875332012273233e+01,7.376947383673075620e-02,2.086284921332512852e+02,8.632897781064707843e+00,-4.923492939434093074e+01,1.848927300906985649e-01,-3.123213209205852881e+00,3.696978792362502486e-01,3.052314896523490584e-02,2.188627657555966555e-02,4.544101327756626191e-08,3.253254340859930009e-05
6.800000000000000000e+01,-2.824312804655306763e+01,6.178436577196429191e-02,2.068773838175960407e+02,1.324063284945588137e+01,-6.643811229859710465e+01,1.827589422990156254e-01,-2.415634115052189834e+00,3.961894431943813744e-01,3.744758990335893961e-02,2.804484176805581777e-02,5.424520554518360740e-08,3.502409118719661680e-05
6.900000000000000000e+01,7.311676617985114035e+00,5.293340140238001618e-02,3.143417353094214661e+01,4.471788398699945333e+01,1.773440445932767062e+00,5.365241784808398584e-02,-7.028833161356591308e-01,5.614273243148729664e-01,4.034312520061070217e-02,3.975694321176667656e-02,8.118112468196158224e-08,3.902728864586764218e-05
7.000000000000000000e+01,-8.385462974121224988e+00,1.253651944854911326e-01,3.210190487914601931e+01,4.746515115318246103e-01,-2.737710909293415540e+00,1.292727045871379377e-01,-1.824715334589888105e+00,9.822488040653140073e-01,6.060812357766390962e-02,4.848884249338813318e-02,7.644275362000489910e-08,7.106185309117055680e-05
7.100000000000000000e+01,6.751778650676612870e+01,1.735568383743585352e-01,1.638975121189940012e+02,1.795070084288433065e+01,-6.296540297087959459e+01,2.166723803483468491e-01,-3.216938780608024295e+00,7.163269743590754413e-01,6.138129281214534105e-02,3.210353104598445001e-02,1.170027396029934362e-07,6.120016895086456655e-05
7.200000000000000000e+01,3.964995277942671237e+01,6.609276098406972888e-02,5.354019914704853278e+01,3.911992920058476386e+01,-2.168797213653972733e+01,9.602095222615553149e-02,-7.976445052824102655e-01,4.856151111527018949e-01,3.395033262583203870e-02,3.311839254796024312e-02,6.357264650054330318e-08,3.835151340635946474e-05
7.300000000000000000e+01,1.441459413348631813e+01,1.192919023073571450e-01,4.313072550170534214e+01,4.980070519597119549e+00,-2.140938898088813147e+01,1.286109925045647862e-01,-9.034931280637091833e-01,1.893459743910616666e+00,1.027291696148639605e-01,8.013904008271591217e-02,1.383796275398258723e-07,1.704335307604889983e-04
7.400000000000000000e+01,-9.307846863245055147e+01,1.606549302853180206e-01,6.818281061101305340e+01,3.366578822848384789e+01,-2.927222310206077083e+01,1.273359922539608891e-01,-2.098423739586817049e+00,1.315927232258848889e+00,7.955481363013787444e-02,5.403311948307307211e-02,1.407385920841628905e-07,1.969171998955036721e-04
7.500000000000000000e+01,-1.619527341543968646e+01,1.323237969703388028e-01,1.360951217148174806e+02,1.407309405874471686e+01,3.339690641998729781e+00,6.849380736553861704e-02,-2.785545922589323098e+00,1.289962370325306473e+00,1.074008299776141317e-01,6.683082000806059297e-02,1.648354095514636670e-07,1.805437890043469875e-04
7.600000000000000000e+01,2.056914620097472834e+00,7.151043899909469148e-02,9.524301897226777669e+00,4.500718343578002134e+01,1.694663517600616842e+00,6.057992440809237961e-02,-5.618196299323970910e-01,5.610816746552255152e-01,4.113001248249142233e-02,4.261586134564503137e-02,7.787956113368043603e-08,3.787229145000356857e-05
7.700000000000000000e+01,5.804489206471856733e+00,8.527180806680190184e-02,1.146371977166353417e+02,3.466728267174207190e+01,-2.755219537619380077e+01,1.041608757104432736e-01,-2.414502394556924614e+00,7.595318902781227344e-01,6.077965769253095701e-02,3.756291384818322143e-02,1.092639070749787990e-07,1.062244221177917076e-04
7.800000000000000000e+01,-4.189980792291123635e-01,8.115240575658412558e-02,-4.495825665937334747e+01,-2.052523550836607313e+00,1.611023143677520864e+00,1.431367268779041024e-01,-1.066224435016365879e+00,1.373674541524496417e+00,7.619334353711026964e-02,7.719854323516356365e-02,9.867909825936468255e-08,8.281114524911581225e-05
7.900000000000000000e+01,-1.156115718957373701e+02,7.849166809114221932e-02,4.271536441611087866e+02,1.615344125251388903e+02,-1.084583623856000258e+02,8.854162846986582402e-02,-4.473862538931302701e+00,9.185253350505570014e-01,3.684536032971214708e-02,5.287941333044277048e-02,2.252717629794387924e-08,5.363980619464623739e-05
8.000000000000000000e+01,-1.149470436512375500e+02,3.364688644131070411e-02,-2.555416903638285575e+01,6.569206471760911104e-01,-2.979807184073219872e+00,1.190739996758020114e-01,-4.168854919154084682e-01,6.286985979512654810e-01,5.893124769552564313e-02,2.708782948490277148e-02,8.240144357264623591e-08,6.141271654628026495e-05
8.100000000000000000e+01,3.487643122560308484e+01,6.330437960208095127e-01,1.175567243170375491e+02,5.062340982584959903e+01,-2.038101776012398147e+01,5.703539530857275330e-02,-1.795420186601818680e+00,2.784878141844431720e+00,1.544390053316321287e-01,1.041107731859497593e-01,3.136236231267990177e-07,2.891662945590637614e-04
8.200000000000000000e+01,-2.257600121509481994e+01,1.353531359492676778e-01,5.127738971664192036e+01,2.792371919315367634e+01,-1.384782839526457288e+01,8.559251370029248573e-02,-1.130791417967534240e+00,7.491432884731678010e-01,6.986944649483056713e-02,4.773778424382840724e-02,1.112712160946639988e-07,9.644589182264904357e-05
8.300000000000000000e+01,1.688569950589302948e+01,1.725217885829457842e-01,-9.496836387646885314e-01,4.763453936352573237e+01,2.086031451249397151e+00,6.357318303029066420e-02,-5.571007193975968663e-01,5.287525628650061593e-01,3.958125560796411924e-02,4.066597556478913217e-02,7.124207570235922127e-08,3.582071616469682660e-05
8.400000000000000000e+01,-2.963359704346544987e+01,8.345918664126837638e-02,1.110445608490730933e+02,2.456752406131145250e+01,-2.654010904836970752e+01,1.590215438917039203e-01,-2.653369574966712108e+00,4.100237934174004728e-01,3.799536352775090969e-02,2.365743114683379125e-02,6.796971374514361574e-08,3.366598689657694882e-05
8.500000000000000000e+01,2.447124347898642327e+01,2.134810239933591647e-01,-8.884584260774161635e+00,6.265819245769974088e+01,6.858797571663480142e+00,3.899695631893919379e-02,-4.694868666850082750e-01,6.801327134284931297e-01,4.590204264135423762e-02,5.257157715653534152e-02,8.450553394907639855e-08,4.660463694077063724e-05
8.600000000000000000e+01,9.667465041021847583e+01,4.963653764440724425e-02,4.718420535342896756e+02,-2.217458195642534236e+01,-8.874422844859296333e+01,2.490571294577426098e-01,-5.349116387847884013e+00,3.460260582833052379e-01,2.791483306947687912e-02,2.018548722645725074e-02,3.708340668971860576e-08,2.905676182964476626e-05
