index,residual,influ,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
2.800000000000000000e+01,-3.690829121913782274e+01,2.920719617606448021e-02,4.665339044751344488e+01,-5.614462378276235199e+01,1.551476553126671099e-01,-3.258722991274141112e-01,1.999324333147918520e-02,1.534175929542155870e-02,3.369629279426955755e-08,6.981798455137380926e-06
2.900000000000000000e+01,1.198834467099629819e+02,2.054212704900164610e-01,3.665918017968081699e+01,-2.806772291464965008e+01,1.307957412480286186e-01,-4.887464165832091645e-01,4.363199585503463318e-02,1.899467160504661120e-02,6.857106433975378874e-08,1.085499165261057358e-05
3.000000000000000000e+01,-7.618749827444342770e+01,2.712209440640532543e-02,2.668690074964763426e+01,-3.234608402329546095e+01,1.414131774201071723e-01,-3.051960595452519742e-01,4.567925779602183961e-02,1.743882875963084431e-02,6.018331870204137355e-08,1.185053441847668261e-05
3.100000000000000000e+01,4.530686418236187052e+01,3.101707807716854240e-02,2.844634665599131651e+01,3.156374035219039698e+00,5.670144607408828669e-02,-5.398734520327784780e-01,3.612885423377162897e-02,1.399409926566666171e-02,5.579429815430184685e-08,1.237557500472082345e-05
3.200000000000000000e+01,1.319063362311638343e+01,2.631173519819773529e-02,1.351658384676891700e+01,-1.009748894392850715e+01,1.214345644399196511e-01,-1.020366180996058691e+00,3.526519553893586734e-02,1.400016176379985378e-02,4.369959537569240529e-08,1.815313970758364046e-05
3.300000000000000000e+01,2.613144190392648625e+01,6.129848350331630613e-02,2.293601832850892919e+01,7.733478471939632115e+00,5.540714327840226550e-02,-5.633404242618000879e-01,3.467952490860998910e-02,1.402154257908647117e-02,5.165081610623303722e-08,1.194379602944877901e-05
3.400000000000000000e+01,-4.093193635422835541e+00,1.094939247586862799e-02,2.118677175112404854e+01,-1.457712980253967316e+01,1.184821382111664601e-01,-8.418260035826818921e-01,3.440446113932293937e-02,1.867995973709704258e-02,4.947892911896171739e-08,1.669211075528933457e-05
3.500000000000000000e+01,4.364365372016416700e+01,2.213410817789256829e-02,3.131616393884996796e+00,-4.635295624168344730e+00,1.282093229478803997e-01,-1.111547800634685723e+00,3.114678075104190119e-02,1.360173391409779699e-02,3.499958812912618589e-08,1.525978784335853554e-05
3.600000000000000000e+01,-1.066697731244343288e+02,5.517233934867900313e-02,1.614158897996627218e+01,-9.516047835944308986e+01,2.346593261456801083e-01,5.163193367531127009e-01,2.846806273011186564e-02,1.479488208555915056e-02,2.923189767565749943e-08,1.143358571810049132e-05
3.700000000000000000e+01,2.827471087936747551e+01,1.859659116430245271e-02,3.413962801867650398e+01,-1.382369312382813753e+01,1.081316745932194012e-01,-5.741082304136502223e-01,1.872435747862682270e-02,1.464606539776924440e-02,2.526334947001681032e-08,8.151496989835042129e-06
3.800000000000000000e+01,2.649200568547167904e+02,1.268219881301213270e-01,3.179160555957184187e+01,-5.235013361303060719e+01,2.211714556777268359e-01,-1.694242188420181261e+00,4.380010582469417990e-02,1.852735542409337036e-02,9.357721049450639646e-08,1.020044127602827651e-05
3.900000000000000000e+01,1.882939688383603993e+01,3.204619639272519860e-02,1.576024971219198179e+01,-4.471734706691073313e+01,2.013707641310460983e-01,-1.401494741694700119e+00,4.487974351762283320e-02,1.894379424355764965e-02,8.203868638225639707e-08,1.352305572932723253e-05
4.000000000000000000e+01,6.446774941583670682e+01,1.638571360874521710e-02,3.318255237541281133e+01,-4.024275852255195218e+01,1.998019846872022831e-01,-1.761978570252863863e+00,4.033429238590418436e-02,1.921740942800500770e-02,8.342118859358033092e-08,9.798478443300831500e-06
4.100000000000000000e+01,4.825574561879059843e+01,4.937636524933321225e-02,3.092732185279834667e+01,-2.871534128423118659e+01,1.369751441559470262e-01,-9.395576527674296408e-01,2.726420250022923430e-02,1.971525328195324750e-02,4.572676787898151292e-08,9.394318841133256117e-06
4.200000000000000000e+01,2.708399200493431636e+00,5.659595211616615801e-02,3.567728057376205442e+01,-4.166038496620701892e+01,2.274435334115540996e-01,-2.147254880882958794e+00,1.798994836317964474e-02,1.234873133769558151e-02,1.905017720322691305e-08,7.067026279052712119e-06
